府県予報区,一次細分区域,"市町村等を
まとめた地域",二次細分区域の名称
宗谷地方,宗谷地方,宗谷北部,稚内市、猿払村、豊富町、幌延町
,,宗谷南部,浜頓別町、中頓別町、枝幸町
,,利尻・礼文,礼文町、利尻町、利尻富士町
上川・留萌地方,上川地方,上川北部,士別市、名寄市、和寒町、剣淵町、下川町、美深町、音威子府村、中川町、幌加内町
,,上川中部,旭川市、鷹栖町、東神楽町、当麻町、比布町、愛別町、上川町、東川町、美瑛町
,,上川南部,富良野市、上富良野町、中富良野町、南富良野町、占冠村
,留萌地方,留萌北部,遠別町、天塩町
,,留萌中部,苫前町、羽幌町＊、天売焼尻＊、初山別村
,,留萌南部,留萌市、増毛町、小平町
網走・北見・紋別地方,網走地方,網走東部,斜里町、清里町、小清水町
,,網走西部,北見市常呂＊、網走市、佐呂間町、大空町
,,網走南部,美幌町、津別町
,北見地方,（北見地方）,北見市北見＊、訓子府町、置戸町
,紋別地方,紋別北部,紋別市、滝上町、興部町、西興部村、雄武町
,,紋別南部,遠軽町、湧別町
釧路・根室・十勝地方,釧路地方,釧路北部,弟子屈町
,,釧路中部,釧路市阿寒＊、標茶町、鶴居村
,,釧路南東部,厚岸町、浜中町
,,釧路南西部,釧路市釧路＊、釧路市音別＊、釧路町、白糠町
,根室地方,根室北部,中標津町、標津町、羅臼町
,,根室中部,別海町
,,根室南部,根室市
,十勝地方,十勝北部,上士幌町、鹿追町、新得町、足寄町、陸別町
,,十勝中部,帯広市、音更町、士幌町、清水町、芽室町、幕別町、池田町、豊頃町、本別町、浦幌町
,,十勝南部,中札内村、更別村、大樹町、広尾町
胆振・日高地方,胆振地方,胆振西部,伊達市伊達＊、伊達市大滝＊、豊浦町、壮瞥町、洞爺湖町
,,胆振中部,室蘭市、苫小牧市、登別市、白老町
,,胆振東部,厚真町、安平町、むかわ町
,日高地方,日高西部,日高町日高＊、日高町門別＊、平取町
,,日高中部,新冠町、新ひだか町
,,日高東部,浦河町、様似町、えりも町
石狩・空知・後志地方,石狩地方,石狩北部,石狩市、当別町、新篠津村
,,石狩中部,札幌市、江別市
,,石狩南部,千歳市、恵庭市、北広島市
,空知地方,北空知,深川市、妹背牛町、秩父別町、北竜町、沼田町
,,中空知,芦別市、赤平市、滝川市、砂川市、歌志内市、奈井江町、上砂川町、浦臼町、新十津川町、雨竜町
,,南空知,夕張市、岩見沢市、美唄市、三笠市、南幌町、由仁町、長沼町、栗山町、月形町
,後志地方,後志北部,小樽市、積丹町、古平町、仁木町、余市町、赤井川村
,,羊蹄山麓,ニセコ町、真狩村、留寿都村、喜茂別町、京極町、倶知安町
,,後志西部,島牧村、寿都町、黒松内町、蘭越町、共和町、岩内町、泊村、神恵内村
渡島・檜山地方,渡島地方,渡島北部,八雲町八雲＊、長万部町
,,渡島東部,函館市、北斗市、七飯町、鹿部町、森町
,,渡島西部,松前町、福島町、知内町、木古内町
,檜山地方,檜山北部,八雲町熊石＊、今金町、せたな町
,,檜山南部,江差町、上ノ国町、厚沢部町、乙部町
,,檜山奥尻島,奥尻町
青森県,津軽,東青津軽,青森市、平内町、今別町、蓬田村、外ヶ浜町
,,北五津軽,五所川原市、板柳町、鶴田町、中泊町
,,西津軽,つがる市、鰺ヶ沢町、深浦町
,,中南津軽,弘前市、黒石市、平川市、西目屋村、藤崎町、大鰐町、田舎館村
,下北,（下北）,むつ市、大間町、東通村、風間浦村、佐井村
,三八上北,三八,八戸市、三沢市、六戸町、おいらせ町、三戸町、五戸町、田子町、南部町、階上町、新郷村
,,上北,十和田市、野辺地町、七戸町、横浜町、東北町、六ヶ所村
岩手県,内陸,二戸地域,二戸市、軽米町、九戸村、一戸町
,,盛岡地域,盛岡市、八幡平市、滝沢市、雫石町、葛巻町、岩手町、紫波町、矢巾町
,,花北地域,花巻市、北上市、西和賀町
,,遠野地域,遠野市
,,奥州金ケ崎地域,奥州市、金ケ崎町
,,両磐地域,一関市、平泉町
,沿岸北部,久慈地域,久慈市、普代村、野田村、洋野町
,,宮古地域,宮古市、山田町、岩泉町、田野畑村
,沿岸南部,釜石地域,釜石市、大槌町
,,大船渡地域,大船渡市、陸前高田市、住田町
宮城県,東部,気仙沼地域,気仙沼市、南三陸町
,,石巻地域,石巻市、東松島市、女川町
,,登米・東部栗原,登米市、栗原市東部＊
,,東部大崎,大崎市東部＊、涌谷町、美里町
,,東部仙台,仙台市東部＊、塩竈市、名取市、多賀城市、岩沼市、富谷市、亘理町、山元町、松島町、七ヶ浜町、利府町、大和町東部＊、大郷町
,,東部仙南,角田市、大河原町、村田町、柴田町、丸森町
,西部,西部栗原,栗原市西部＊
,,西部大崎,大崎市西部＊、色麻町、加美町
,,西部仙台,仙台市西部＊、大和町西部＊、大衡村
,,西部仙南,白石市、蔵王町、七ヶ宿町、川崎町
秋田県,沿岸,能代山本地域,能代市、藤里町、三種町、八峰町
,,秋田中央地域,秋田市、男鹿市、潟上市、五城目町、八郎潟町、井川町、大潟村
,,本荘由利地域,由利本荘市、にかほ市
,内陸,北秋鹿角地域,大館市、鹿角市、北秋田市、小坂町、上小阿仁村
,,仙北平鹿地域,横手市、大仙市、仙北市、美郷町
,,湯沢雄勝地域,湯沢市、羽後町、東成瀬村
山形県,村山,北村山,村山市、東根市、尾花沢市、大石田町
,,西村山,寒河江市、河北町、西川町、朝日町、大江町
,,東南村山,山形市、上山市、天童市、山辺町、中山町
,置賜,東南置賜,米沢市、南陽市、高畠町、川西町
,,西置賜,長井市、小国町、白鷹町、飯豊町
,庄内,庄内北部,酒田市、遊佐町
,,庄内南部,鶴岡市、三川町、庄内町
,最上,（最上）,新庄市、金山町、最上町、舟形町、真室川町、大蔵村、鮭川村、戸沢村
福島県,中通り,中通り北部,福島市、伊達市、桑折町、国見町、川俣町
,,中通り中部,郡山市＊、須賀川市、二本松市、田村市、本宮市、大玉村、鏡石町、天栄村＊、三春町、小野町
,,中通り南部,白河市、西郷村、泉崎村、中島村、矢吹町、棚倉町、矢祭町、塙町、鮫川村、石川町、玉川村、平田村、浅川町、古殿町
,浜通り,浜通り北部,相馬市、南相馬市、新地町、飯舘村
,,浜通り中部,広野町、楢葉町、富岡町、川内村、大熊町、双葉町、浪江町、葛尾村
,,浜通り南部,いわき市
,会津,会津北部,喜多方市、北塩原村、西会津町、磐梯町、猪苗代町
,,会津中部,会津若松市、郡山市湖南＊、会津坂下町、湯川村、柳津町、三島町、金山町、昭和村、会津美里町
,,会津南部,天栄村湯本＊、下郷町、檜枝岐村、只見町、南会津町
茨城県,北部,県北地域,日立市、常陸太田市、高萩市、北茨城市、ひたちなか市、常陸大宮市、那珂市、東海村、大子町
,,県央地域,水戸市、笠間市、小美玉市、茨城町、大洗町、城里町
,南部,鹿行地域,鹿嶋市、潮来市、神栖市、行方市、鉾田市
,,県南地域,土浦市、石岡市、龍ケ崎市、取手市、牛久市、つくば市、守谷市、稲敷市、かすみがうら市、つくばみらい市、美浦村、阿見町、河内町、利根町
,,県西地域,古河市、結城市、下妻市、常総市、筑西市、坂東市、桜川市、八千代町、五霞町、境町
栃木県,北部,那須地域,大田原市、矢板市、那須塩原市、塩谷町、那須町
,,日光地域,日光市
,南部,南東部,真岡市、那須烏山市、益子町、茂木町、市貝町、芳賀町、那珂川町
,,県央部,宇都宮市、さくら市、上三川町、高根沢町
,,南西部,足利市、栃木市、佐野市、鹿沼市、小山市、下野市、壬生町、野木町
群馬県,北部,利根・沼田地域,沼田市、片品村、川場村、昭和村、みなかみ町
,,吾妻地域,中之条町、長野原町、嬬恋村、草津町、高山村、東吾妻町
,南部,前橋・桐生地域,前橋市、桐生市、渋川市、みどり市、榛東村、吉岡町
,,伊勢崎・太田地域,伊勢崎市、太田市、館林市、玉村町、板倉町、明和町、千代田町、大泉町、邑楽町
,,高崎・藤岡地域,高崎市、藤岡市、富岡市、安中市、上野村、神流町、下仁田町、南牧村、甘楽町
埼玉県,南部,南東部,春日部市、草加市、越谷市、八潮市、三郷市、蓮田市、幸手市、吉川市、白岡市、宮代町、杉戸町、松伏町
,,南中部,さいたま市、川越市、川口市、所沢市、狭山市、上尾市、蕨市、戸田市、朝霞市、志木市、和光市、新座市、桶川市、北本市、富士見市、ふじみ野市、伊奈町、三芳町、川島町
,,南西部,飯能市、入間市、坂戸市、鶴ヶ島市、日高市、毛呂山町、越生町
,北部,北東部,行田市、加須市、羽生市、鴻巣市、久喜市
,,北西部,熊谷市、本庄市、東松山市、深谷市、滑川町、嵐山町、小川町、吉見町、鳩山町、ときがわ町、東秩父村、美里町、神川町、上里町、寄居町
,秩父地方,（秩父地方）,秩父市、横瀬町、皆野町、長瀞町、小鹿野町
千葉県,北東部,香取・海匝,銚子市、旭市、匝瑳市、香取市、神崎町、多古町、東庄町
,,山武・長生,茂原市、東金市、山武市、大網白里市、九十九里町、芝山町、横芝光町、一宮町、睦沢町、長生村、白子町、長柄町、長南町
,北西部,印旛,成田市、佐倉市、四街道市、八街市、印西市、白井市、富里市、酒々井町、栄町
,,東葛飾,市川市、船橋市、松戸市、野田市、習志野市、柏市、流山市、八千代市、我孫子市、鎌ヶ谷市、浦安市
,,千葉中央,千葉市、市原市
,南部,君津,木更津市、君津市、富津市、袖ヶ浦市
,,夷隅・安房,館山市、勝浦市、鴨川市、南房総市、いすみ市、大多喜町、御宿町、鋸南町
東京都,東京地方,23区東部,台東区、墨田区、江東区、荒川区、足立区、葛飾区、江戸川区
,,23区西部,千代田区、中央区、港区、新宿区、文京区、品川区、目黒区、大田区、世田谷区、渋谷区、中野区、杉並区、豊島区、北区、板橋区、練馬区
,,多摩北部,立川市、武蔵野市、三鷹市、府中市、昭島市、調布市、小金井市、小平市、東村山市、国分寺市、国立市、狛江市、東大和市、清瀬市、東久留米市、武蔵村山市、西東京市
,,多摩西部,青梅市、福生市、羽村市、あきる野市、瑞穂町、日の出町、檜原村、奥多摩町
,,多摩南部,八王子市、町田市、日野市、多摩市、稲城市
,伊豆諸島北部,大島,大島町
,,新島,利島村、新島村、神津島村
,伊豆諸島南部,三宅島,三宅村、御蔵島村
,,八丈島,八丈町、青ヶ島村
,小笠原諸島,（小笠原諸島）,小笠原村
神奈川県,東部,横浜・川崎,横浜市、川崎市
,,湘南,平塚市、藤沢市、茅ヶ崎市、大和市、海老名市、座間市、綾瀬市、寒川町、大磯町、二宮町
,,三浦半島,横須賀市、鎌倉市、逗子市、三浦市、葉山町
,西部,相模原,相模原市
,,県央,秦野市、厚木市、伊勢原市、愛川町、清川村
,,足柄上,南足柄市、中井町、大井町、松田町、山北町、開成町
,,西湘,小田原市、箱根町、真鶴町、湯河原町
新潟県,上越,上越市,上越市
,,糸魚川市,糸魚川市
,,妙高市,妙高市
,中越,三条地域,三条市、加茂市、田上町
,,魚沼市,魚沼市
,,長岡地域,長岡市、小千谷市、見附市、出雲崎町
,,柏崎地域,柏崎市、刈羽村
,,南魚沼地域,南魚沼市、湯沢町
,,十日町地域,十日町市、津南町
,下越,岩船地域,村上市、関川村、粟島浦村
,,新発田地域,新発田市、胎内市、聖籠町
,,新潟地域,新潟市、燕市、阿賀野市、弥彦村
,,五泉地域,五泉市、阿賀町
,佐渡,（佐渡）,佐渡市
富山県,東部,東部北,朝日町、黒部市、魚津市、滑川市、入善町
,,東部南,富山市、舟橋村、上市町、立山町
,西部,西部北,高岡市、氷見市、小矢部市、射水市
,,西部南,砺波市、南砺市
石川県,能登,能登北部,輪島市、珠洲市、穴水町、能登町
,,能登南部,七尾市、羽咋市、志賀町、宝達志水町、中能登町
,加賀,加賀北部,金沢市、かほく市、津幡町、内灘町
,,加賀南部,小松市、加賀市、白山市、能美市、川北町、野々市市
福井県,嶺北,奥越,大野市、勝山市
,,嶺北北部,福井市、あわら市、坂井市、永平寺町、越前町
,,嶺北南部,鯖江市、越前市、池田町、南越前町
,嶺南,嶺南東部,敦賀市、美浜町、若狭町
,,嶺南西部,小浜市、高浜町、おおい町
山梨県,東部・富士五湖,東部,都留市、大月市、上野原市、道志村、小菅村、丹波山村
,,富士五湖,富士吉田市、西桂町、忍野村、山中湖村、鳴沢村、富士河口湖町
,中・西部,中北地域,甲府市、韮崎市、南アルプス市、北杜市、甲斐市、中央市、昭和町
,,峡東地域,山梨市、笛吹市、甲州市
,,峡南地域,市川三郷町、富士川町、早川町、身延町、南部町
長野県,北部,中野飯山地域,中野市、飯山市、山ノ内町、木島平村、野沢温泉村、栄村
,,長野地域,長野市、須坂市、千曲市、坂城町、小布施町、高山村、信濃町、小川村、飯綱町
,,大北地域,大町市、池田町、松川村、白馬村、小谷村
,中部,上田地域,上田市、東御市、青木村、長和町
,,佐久地域,小諸市、佐久市、小海町、川上村、南牧村、南相木村、北相木村、佐久穂町、軽井沢町、御代田町、立科町
,,松本地域,松本＊、塩尻＊、安曇野市、麻績村、生坂村、山形村、朝日村、筑北村
,,乗鞍上高地地域,乗鞍上高地＊
,,諏訪地域,岡谷市、諏訪市、茅野市、下諏訪町、富士見町、原村
,南部,上伊那地域,伊那市、駒ヶ根市、辰野町、箕輪町、飯島町、南箕輪村、中川村、宮田村
,,木曽地域,楢川＊、上松町、南木曽町、木祖村、王滝村、大桑村、木曽町
,,下伊那地域,飯田市、松川町、高森町、阿南町、阿智村、平谷村、根羽村、下條村、売木村、天龍村、泰阜村、喬木村、豊丘村、大鹿村
岐阜県,飛騨地方,飛騨北部,高山市、飛騨市、白川村
,,飛騨南部,下呂市
,美濃地方,岐阜・西濃,岐阜市、大垣市、羽島市、各務原市、山県市、瑞穂市、本巣市、海津市、岐南町、笠松町、養老町、垂井町、関ケ原町、神戸町、輪之内町、安八町、揖斐川町、大野町、池田町、北方町
,,中濃,関市、美濃市、美濃加茂市、可児市、郡上市、坂祝町、富加町、川辺町、七宗町、八百津町、白川町、東白川村、御嵩町
,,東濃,多治見市、中津川市、瑞浪市、恵那市、土岐市
静岡県,伊豆,伊豆北,熱海市、伊東市、伊豆市、伊豆の国市、函南町
,,伊豆南,下田市、東伊豆町、河津町、南伊豆町、松崎町、西伊豆町
,東部,富士山南東,沼津市、三島市、御殿場市、裾野市、清水町、長泉町、小山町
,,富士山南西,富士宮市、富士市
,中部,中部北,静岡市北部＊、川根本町
,,中部南,静岡市南部＊、島田市、焼津市、藤枝市、牧之原市、吉田町
,西部,遠州北,浜松市北部＊
,,遠州南,浜松市南部＊、磐田市、掛川市、袋井市、湖西市、御前崎市、菊川市、森町
愛知県,東部,東三河北部,新城市、設楽町、東栄町、豊根村
,,東三河南部,豊橋市、豊川市、蒲郡市、田原市
,,西三河北東部,豊田市東部＊
,西部,西三河北西部,豊田市西部＊、みよし市
,,西三河南部,岡崎市、碧南市、刈谷市、安城市、西尾市、知立市、高浜市、幸田町
,,尾張東部,名古屋市、瀬戸市、春日井市、犬山市、小牧市、尾張旭市、豊明市、日進市、長久手市、東郷町
,,尾張西部,一宮市、津島市、江南市、稲沢市、岩倉市、愛西市、清須市、北名古屋市、弥富市、豊山町、大口町、扶桑町、あま市、大治町、蟹江町、飛島村
,,知多地域,半田市、常滑市、東海市、大府市、知多市、阿久比町、東浦町、南知多町、美浜町、武豊町
三重県,北中部,北部,四日市市、桑名市、鈴鹿市、亀山市、いなべ市、木曽岬町、東員町、菰野町、朝日町、川越町
,,中部,津市、松阪市、多気町、明和町
,,伊賀,名張市、伊賀市
,南部,伊勢志摩,伊勢市、鳥羽市、志摩市、玉城町、度会町、南伊勢町
,,紀勢・東紀州,尾鷲市、熊野市、大台町、大紀町、紀北町、御浜町、紀宝町
滋賀県,北部,湖北,長浜市、米原市
,,湖東,彦根市、愛荘町、豊郷町、甲良町、多賀町
,,近江西部,大津市北部＊、高島市
,南部,東近江,近江八幡市、東近江市、日野町、竜王町
,,近江南部,大津市南部＊、草津市、守山市、栗東市、野洲市
,,甲賀,甲賀市、湖南市
京都府,北部,丹後,宮津市、京丹後市、伊根町、与謝野町
,,舞鶴・綾部,舞鶴市、綾部市
,,福知山,福知山市
,南部,南丹・京丹波,南丹市、京丹波町
,,京都・亀岡,京都市、亀岡市、向日市、長岡京市、大山崎町
,,山城中部,宇治市、城陽市、八幡市、京田辺市、久御山町、井手町、宇治田原町
,,山城南部,木津川市、笠置町、和束町、精華町、南山城村
大阪府,大阪府,北大阪,豊中市、池田市、吹田市、高槻市、茨木市、箕面市、摂津市、島本町、豊能町、能勢町
,,東部大阪,守口市、枚方市、八尾市、寝屋川市、大東市、柏原市、門真市、東大阪市、四條畷市、交野市
,,大阪市,大阪市
,,南河内,富田林市、河内長野市、松原市、羽曳野市、藤井寺市、大阪狭山市、太子町、河南町、千早赤阪村
,,泉州,堺市、岸和田市、泉大津市、貝塚市、泉佐野市、和泉市、高石市、泉南市、阪南市、忠岡町、熊取町、田尻町、岬町
兵庫県,北部,但馬北部,豊岡市、香美町、新温泉町
,,但馬南部,養父市、朝来市
,南部,北播丹波,西脇市、篠山市、丹波市、多可町
,,播磨北西部,宍粟市、市川町、福崎町、神河町、佐用町
,,阪神,神戸市、尼崎市、西宮市、芦屋市、伊丹市、宝塚市、川西市、三田市、猪名川町
,,播磨南東部,明石市、加古川市、三木市、高砂市、小野市、加西市、加東市、稲美町、播磨町
,,播磨南西部,姫路市、相生市、赤穂市、たつの市、太子町、上郡町
,,淡路島,洲本市、南あわじ市、淡路市
奈良県,北部,北東部,宇陀市、山添村
,,北西部,奈良市、大和高田市、大和郡山市、天理市、橿原市、桜井市、御所市、生駒市、香芝市、葛城市、平群町、三郷町、斑鳩町、安堵町、川西町、三宅町、田原本町、高取町、明日香村、上牧町、王寺町、広陵町、河合町
,,五條・北部吉野,五條市北部＊、吉野町、大淀町、下市町
,南部,南東部,曽爾村、御杖村、黒滝村、天川村、下北山村、上北山村、川上村、東吉野村
,,南西部,五條市南部＊、野迫川村、十津川村
和歌山県,北部,紀北,和歌山市、海南市、橋本市、紀の川市、岩出市、紀美野町、かつらぎ町、九度山町、高野町
,,紀中,有田市、御坊市、湯浅町、広川町、有田川町、美浜町、日高町、由良町、印南町、みなべ町、日高川町
,南部,新宮・東牟婁,新宮市、那智勝浦町、太地町、古座川町、北山村、串本町
,,田辺・西牟婁,田辺市田辺＊、田辺市龍神＊、田辺市中辺路＊、田辺市大塔＊、田辺市本宮＊、白浜町、上富田町、すさみ町
鳥取県,東部,鳥取地区,鳥取市北部＊、岩美町
,,八頭地区,鳥取市南部＊、若桜町、智頭町、八頭町
,中・西部,倉吉地区,倉吉市、三朝町、湯梨浜町、琴浦町、北栄町
,,米子地区,米子市、境港市、日吉津村、大山町、南部町、伯耆町
,,日野地区,日南町、日野町、江府町
島根県,東部,松江地区,松江市、安来市
,,出雲地区,出雲市
,,雲南地区,雲南市、奥出雲町、飯南町
,西部,大田邑智地区,大田市、川本町、美郷町、邑南町
,,浜田地区,浜田市、江津市
,,益田地区,益田市、津和野町、吉賀町
,隠岐,（隠岐）,海士町、西ノ島町、知夫村、隠岐の島町
岡山県,北部,勝英地域,美作市、勝央町、奈義町、西粟倉村
,,津山地域,津山市、鏡野町、久米南町、美咲町
,,真庭地域,真庭市、新庄村
,,新見地域,新見市
,南部,東備地域,備前市、赤磐市、和気町
,,岡山地域,岡山市、玉野市、瀬戸内市、吉備中央町
,,高梁地域,高梁市
,,倉敷地域,倉敷市、総社市、早島町
,,井笠地域,笠岡市、井原市、浅口市、里庄町、矢掛町
広島県,北部,備北,三次市、庄原市
,,芸北,安芸高田市、安芸太田町、北広島町
,南部,福山・尾三,三原市、尾道市、福山市、府中市、世羅町、神石高原町
,,東広島・竹原,竹原市、東広島市、大崎上島町
,,広島・呉,広島市、呉市、大竹市、廿日市市、江田島市、府中町、海田町、熊野町、坂町
山口県,北部,萩・美祢,萩市、美祢市、阿武町
,,長門,長門市
,東部,岩国,岩国市、和木町
,,柳井・光,光市、柳井市、周防大島町、上関町、田布施町、平生町
,中部,周南・下松,下松市、周南市
,,山口・防府,山口市、防府市
,西部,下関,下関市
,,宇部・山陽小野田,宇部市、山陽小野田市
徳島県,北部,徳島・鳴門,"""徳島市、鳴門市、小松島市、松茂町、北島町、藍住町、板野町"
,,美馬北部・阿北,吉野川市、阿波市、美馬市脇・美馬・穴吹＊、石井町、上板町、つるぎ町半田・貞光＊
,,美馬南部・神山,美馬市木屋平＊、佐那河内村、神山町、つるぎ町一宇＊
,,三好,三好市、東みよし町
,南部,阿南,阿南市
,,那賀・勝浦,勝浦町、上勝町、那賀町
,,海部,牟岐町、美波町、海陽町
香川県,香川県,小豆,土庄町、小豆島町
,,東讃,さぬき市、東かがわ市、三木町
,,高松地域,高松市、直島町
,,中讃,丸亀市、坂出市、善通寺市、宇多津町、綾川町、琴平町、多度津町、まんのう町
,,西讃,観音寺市、三豊市
愛媛県,東予,東予東部,新居浜市、西条市、四国中央市
,,東予西部,今治市、上島町
,中予,（中予）,松山市、伊予市、東温市、久万高原町、松前町、砥部町
,南予,南予北部,八幡浜市、大洲市、西予市、内子町、伊方町
,,南予南部,宇和島市、松野町、鬼北町、愛南町
高知県,東部,室戸,室戸市、東洋町
,,安芸,安芸市、奈半利町、田野町、安田町、北川村、馬路村、芸西村
,中部,高知中央,高知市、南国市、土佐市、須崎市、香南市、香美市、いの町、日高村
,,嶺北,本山町、大豊町、土佐町、大川村
,,高吾北,仁淀川町、佐川町、越知町
,西部,高幡,中土佐町、檮原町、津野町、四万十町
,,幡多,宿毛市、土佐清水市、四万十市、大月町、三原村、黒潮町
福岡県,福岡地方,（福岡地方）,福岡市、筑紫野市、春日市、大野城市、宗像市、太宰府市、古賀市、福津市、糸島市、那珂川町、宇美町、篠栗町、志免町、須恵町、新宮町、久山町、粕屋町
,北九州地方,北九州・遠賀地区,北九州市、中間市、芦屋町、水巻町、岡垣町、遠賀町
,,京築,行橋市、豊前市、苅田町、みやこ町、吉富町、上毛町、築上町
,筑豊地方,（筑豊地方）,直方市、飯塚市、田川市、宮若市、嘉麻市、小竹町、鞍手町、桂川町、香春町、添田町、糸田町、川崎町、大任町、赤村、福智町
,筑後地方,筑後北部,久留米市、小郡市、うきは市、朝倉市、筑前町、東峰村、大刀洗町
,,筑後南部,大牟田市、柳川市、八女市、筑後市、大川市、みやま市、大木町、広川町
佐賀県,北部,唐津地区,唐津市、玄海町
,,伊万里地区,伊万里市、有田町
,南部,鳥栖地区,鳥栖市、神埼市、吉野ヶ里町、基山町、上峰町、みやき町
,,佐賀多久地区,佐賀市、多久市、小城市
,,武雄地区,武雄市、大町町、江北町、白石町
,,鹿島地区,鹿島市、嬉野市、太良町
長崎県,北部,平戸・松浦地区,平戸市、松浦市
,,佐世保・東彼地区,佐世保市（宇久地域を除く）＊、東彼杵町、川棚町、波佐見町、佐々町
,南部,島原半島,島原市、雲仙市、南島原市
,,諫早・大村地区,諫早市、大村市
,,長崎地区,長崎市、長与町、時津町
,,西彼杵半島,西海市（江島・平島を除く）＊
,壱岐・対馬,上対馬,上対馬＊
,,下対馬,下対馬＊
,,壱岐,壱岐市
,五島,上五島,佐世保市（宇久地域）＊、西海市（江島・平島）＊、小値賀町、新上五島町
,,下五島,五島市
熊本県,熊本地方,山鹿菊池,山鹿市、菊池市、合志市、大津町、菊陽町
,,荒尾玉名,荒尾市、玉名市、玉東町、南関町、長洲町、和水町
,,熊本市,熊本市
,,上益城,西原村、御船町、嘉島町、益城町、甲佐町、山都町
,,宇城八代,八代市、宇土市、宇城市、美里町、氷川町
,阿蘇地方,（阿蘇地方）,阿蘇市、南小国町、小国町、産山村、高森町、南阿蘇村
,天草・芦北地方,天草地方,上天草市、天草市、苓北町
,,芦北地方,水俣市、芦北町、津奈木町
,球磨地方,（球磨地方）,人吉市、錦町、多良木町、湯前町、水上村、相良村、五木村、山江村、球磨村、あさぎり町
大分県,北部,（北部）,中津市、豊後高田市、宇佐市、国東市、姫島村
,中部,（中部）,大分市、別府市、臼杵市、津久見市、杵築市、由布市、日出町
,南部,佐伯市,佐伯市
,,豊後大野市,豊後大野市
,西部,日田玖珠,日田市、九重町、玖珠町
,,竹田市,竹田市
宮崎県,北部平野部,延岡・日向地区,延岡市、日向市、門川町
,,西都・高鍋地区,西都市、高鍋町、新富町、木城町、川南町、都農町
,北部山沿い,高千穂地区,高千穂町、日之影町、五ヶ瀬町
,,椎葉・美郷地区,西米良村、諸塚村、椎葉村、美郷町
,南部平野部,宮崎地区,宮崎市、国富町、綾町
,,日南・串間地区,日南市、串間市
,南部山沿い,小林・えびの地区,小林市、えびの市、高原町
,,都城地区,都城市、三股町
鹿児島県,薩摩地方,出水・伊佐,阿久根市、出水市、伊佐市、長島町
,,川薩・姶良,薩摩川内市＊、霧島市、さつま町、姶良市、湧水町
,,甑島,薩摩川内市甑島＊
,,鹿児島・日置,鹿児島市、日置市、いちき串木野市
,,指宿・川辺,枕崎市、指宿市、南さつま市、南九州市
,大隅地方,曽於,曽於市、志布志市、大崎町
,,肝属,鹿屋市、垂水市、東串良町、錦江町、南大隅町、肝付町
,種子島・屋久島地方,種子島地方,西之表市、三島村、中種子町、南種子町
,,屋久島地方,屋久島町
,奄美地方,十島村,十島村
,,北部,奄美市、大和村、宇検村、瀬戸内町、龍郷町、喜界町
,,南部,徳之島町、天城町、伊仙町、和泊町、知名町、与論町
沖縄本島地方,本島北部,伊是名・伊平屋,伊平屋村、伊是名村
,,国頭地区,国頭村、大宜味村、東村
,,名護地区,名護市、今帰仁村、本部町、伊江村
,,恩納・金武地区,恩納村、宜野座村、金武町
,本島中南部,中部,宜野湾市、沖縄市、うるま市、読谷村、嘉手納町、北谷町、北中城村、中城村
,,南部,那覇市、浦添市、糸満市、豊見城市、南城市、西原町、与那原町、南風原町、八重瀬町
,,慶良間・粟国諸島,渡嘉敷村、座間味村、粟国村、渡名喜村
,久米島,（久米島）,久米島町
大東島地方,大東島地方,（大東島地方）,南大東村、北大東村
宮古島地方,宮古島地方,宮古島,宮古島市
,,多良間島,多良間村
八重山地方,石垣島地方,石垣市,石垣市
,,竹富町,竹富町
,与那国島地方,（与那国島地方）,与那国町